School Id,School Name,Address,City,State,Zip Code,Men Arrested,Women Arrested,Total,People arrested using Weapons,People arrested using Drugs,People arrested using Liquor,Suspensions Per 100 Students Year 1 %,Suspensions Per 100 Students Year 2 %,Suspensions Per 100 Students Avg %,Misconducts To Suspensions Year 1 %,Misconducts To Suspensions Year 2 %,Misconducts To Suspensions Avg %
E00254,LMU - LOYOLA LAW SCHOOL,919 SOUTH ALBANY STREET,LOS ANGELES,CA,90015,5678,8122,13800,10,65,20,,,8.1,,,18.8
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,559 NATHAN ABBOTT WAY,STANFORD,CA,94305,43,93,136,13,45,75,1.2,1.4,8.1,5.1,35.3,18.8
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,FIN AID OFFICE 12-109 CHS,LOS ANGELES,CA,90095,16,18,34,15,39,12,20.6,5.7,8.1,18.9,6.3,18.8
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,A3042 DENTAL BLDG,LOS ANGELES,CA,90095,2,133,135,8,22,62,6.4,3.4,8.1,16,12.5,18.8
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,3333 HARBOR BOULEVARD,COSTA MESA,CA,92626,2762,3521,6283,9,23,53,,,8.1,,,18.8
E00554,ANTIOCH UNIV/LOS ANGELES,400 CORPORATE POINTE,CULVER CITY,CA,90230,5280,5669,10949,11,19,85,,,8.1,,,18.8
E00556,ANTIOCH UNIV/SANTA BARBARA,801 GARDEN STR SUITE 101,SANTA BARBARA,CA,93101,5280,5669,10949,20,55,48,3.2,5.7,8.1,8.6,14.4,18.8
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,126,169,295,14,62,66,17.2,11.9,8.1,34.3,38.7,18.8
E00914,PLATT COLLEGE,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764,45,28,73,7,44,99,15.5,12.5,8.1,37.8,37.4,18.8
E00959,PLATT COLLEGE - ANAHEIM,1551 SOUTH DOUGLASS ROAD,ANAHEIM,CA,92806,183,145,328,15,77,38,,,8.1,,,18.8
E00961,TRINITY INTERNATIONAL UNIV-CA,2200 N. GRAND AVE,SANTA ANA,CA,92705,46,33,79,19,40,33,1.2,3.8,8.1,31.3,28,18.8
E01182,KAPLAN COLLEGE - PALM SPRINGS,2475 EAST TAHQUITZ CANYON WAY,PALM SPRINGS,CA,92262,349,1194,1543,8,22,62,26.3,32.1,8.1,33.7,60.1,18.8
E01191,KAPLAN COLLEGE - BAKERSFIELD,1914 WIBLE ROAD,BAKERSFIELD,CA,93304,20,26,46,9,23,53,8.2,7.6,8.1,6.9,9.1,18.8
E01197,KAPLAN COLLEGE - FRESNO,44 SHAW AVENUE,CLOVIS,CA,93612,13724,15657,29381,11,19,85,0.4,0.5,8.1,1.5,2.2,18.8
E01285,KAPLAN COLLEGE - RIVERSIDE,4040 VINE STREET,RIVERSIDE,CA,92507,13724,15657,29381,20,55,48,4.9,4.5,8.1,13.1,17.4,18.8
E01713,CAREER CARE INSTITUTE - VENTURA,2151 ALESSANDRO DRIVE,VENTURA,CA,93001,13724,15657,29381,14,62,66,13.9,12.2,8.1,21.8,18.8,18.8
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,4730 ONTARIO MILLS PARKWAY,ONTARIO,CA,91764,5833,8566,14399,7,44,99,17,7.3,8.1,37.8,39.6,18.8
E01827,UNITED EDUCATION INSTITUTE - ENCINO,5445 BALBOA BOULEVARD,ENCINO,CA,91316,1070,1063,2133,10,65,20,0,0.2,8.1,0,8.3,18.8
E01841,KAPLAN COLLEGE - CHULA VISTA,"CHULA VISTA CENTER, SUITE 144",CHULA VISTA,CA,91910,1070,1063,2133,13,45,75,0.1,0.1,8.1,3.4,7.7,18.8
E01882,EVEREST COLLEGE - SANTA ANA,500 WEST SANTA ANA BOULEVARD,SANTA ANA,CA,92701,138,239,377,15,39,12,1.5,9.8,8.1,43.8,52.2,18.8
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,310 THIRD AVENUE,CHULA VISTA,CA,91910,59,17,76,8,22,62,1.9,2.3,8.1,60,31.8,18.8
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,3401 RIO HONDO AVENUE,EL MONTE,CA,91731,3232,6743,9975,19,40,33,,,8.1,,,18.8
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,401 CARL KARCHER WAY,ANAHEIM,CA,92801,3232,6743,9975,8,22,62,,,8.1,,,18.8
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,2085 MONTIEL ROAD,SAN MARCOS,CA,92069,3232,6743,9975,9,23,53,,,8.1,,,18.8
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,22500 TOWN CIRCLE SUITE 2205,MORENO VALLEY,CA,92553,3232,6743,9975,11,19,85,0.2,1.4,8.1,13.3,34.2,18.8
E01977,UEI COLLEGE-RIVERSIDE,1860 UNIVERSITY AVENUE,RIVERSIDE,CA,92507,3232,6743,9975,8,22,62,1,0,8.1,9.1,0,18.8
E02024,MEDIATECH INSTITUTE - OCEANSIDE,302 OCEANSIDE BOULEVARD,OCEANSIDE,CA,92054,3232,6743,9975,9,23,53,38.9,74.1,8.1,23,30.7,18.8
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,4994 CLAREMONT AVENUE,STOCKTON,CA,95207,3232,6743,9975,11,19,85,1.9,0.5,8.1,26.7,7.7,18.8
E02077,WESTMED COLLEGE - MERCED,"330 E. YOSEMITE AVE, STE. 201",MERCED,CA,95340,9055,11393,20448,20,55,48,2.3,0.2,8.1,24.6,9.1,18.8
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,21615 HESPERIAN BOULEVARD,HAYWARD,CA,94541,1138,1970,3108,14,62,66,,,8.1,,,18.8
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,3309 HYLAND AVENUE SUITE J,COSTA MESA,CA,92626,14,150,164,7,44,99,,,8.1,,,18.8
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,410 A STREET,SAN DIEGO,CA,92101,213,151,364,10,65,20,1.2,1.6,8.1,15.9,12,18.8
E02133,PLATT COLLEGE - RIVERSIDE,"6465 SYCAMORE CANYON BLVD, STE. 100",RIVERSIDE,CA,92507,2832,3395,6227,13,45,75,4.4,1.8,8.1,32.7,14.3,18.8
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,23565 MOULTON PARKWAY STES A AND B,LAGUNA HILLS,CA,92653,2832,3395,6227,15,39,12,,,8.1,,,18.8
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,1201 W. 5TH STREET,LOS ANGELES,CA,90017,2832,3395,6227,9,23,53,2.4,7.7,8.1,15.1,8.5,18.8
E40424,UEI COLLEGE - BAKERSFIELD,3737 ROSEDALE HIGHWAY,BAKERSFIELD,CA,93308,46,0,46,11,19,85,1.5,0.7,8.1,8.2,6.7,18.8
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,2606 DWIGHT WAY,BERKELEY,CA,94704,463,954,1417,20,55,48,1.5,1.5,8.1,14.3,20.5,18.8
G01165,CHURCH DIV SCH OF THE PACIFIC,2451 RIDGE RD,BERKELEY,CA,94709,5573,6096,11669,14,62,66,3.8,1,8.1,43.4,6.1,18.8
G01169,CLAREMONT GRADUATE UNIVERSITY,170 E 10TH ST,CLAREMONT,CA,91711,42,184,226,7,44,99,1.5,7.3,8.1,10.2,31.4,18.8
G01200,FULLER THEOLOGICAL SEMINARY,135 N OAKLAND,PASADENA,CA,91182,392,1096,1488,10,65,20,,,8.1,,,18.8
G01207,GRADUATE THEOLOGICAL UNION,2400 RIDGE ROAD,BERKELEY,CA,94709,6144,6942,13086,13,45,75,21.1,10.2,8.1,45.8,28.6,18.8
G01256,PACIFIC SCHOOL OF RELIGION,1798 SCENIC AVE,BERKELEY,CA,94709,6144,6942,13086,15,39,12,0,0,8.1,0,0,18.8
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,105 SEMINARY ROAD,SAN ANSELMO,CA,94960,2973,5568,8541,8,22,62,0.9,2,8.1,9.3,47.1,18.8
G01288,CLAREMONT SCHOOL OF THEOLOGY,1325 N COLLEGE AVE,CLAREMONT,CA,91711,2973,5568,8541,9,23,53,20.3,9.8,8.1,19.3,8.4,18.8
G01295,SOUTHWESTERN LAW SCHOOL,3050 WILSHIRE BOULEVARD,LOS ANGELES,CA,90010,2973,5568,8541,11,19,85,0,0.1,8.1,0,20,18.8
G03947,UC-HASTINGS COLLEGE OF THE LAW,200 MCALLISTER ST,SAN FRANCISCO,CA,94102,2973,5568,8541,5,29,63,14.1,17.7,8.1,11.8,65.7,18.8
G04080,STARR KING SCHOOL FOR THE MINISTRY,2441 LE CONTE AVENUE,BERKELEY,CA,94709,2973,5568,8541,14,28,54,,,8.1,,,18.8
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,5998 ALCALA PARK,SAN DIEGO,CA,92110,742,1233,1975,16,32,52,,,8.1,,,18.8
G08846,WRIGHT INSTITUTE,2728 DURANT AVE,BERKELEY,CA,94704,742,1233,1975,10,43,76,0,0,8.1,0,0,18.8
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,1000 SOUTH FREMONT AVENUE,ALHAMBRA,CA,91803,447,503,950,13,45,75,,,8.1,,,18.8
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,1735 LEROY AVENUE,BERKELEY,CA,94709,1518,737,2255,15,39,12,0.3,0.7,8.1,10.3,8.2,18.8
G10441,PARDEE RAND GRADUATE SCHOOL,1776 MAIN STREET,SANTA MONICA,CA,90407,1715,2411,4126,8,22,62,0.8,0,8.1,16.7,0,18.8
G11792,FRANCISCAN SCHOOL OF THEOLOGY,4050 MISSION AVENUE,OCEANSIDE,CA,92057,1715,2411,4126,60,22,19,,,8.1,,,18.8
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,ONE BEACH STREET,SAN FRANCISCO,CA,94133,1715,2411,4126,16,25,56,,,8.1,,,18.8
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR STREET,SAN DIEGO,CA,92101,1715,2411,4126,13,66,25,,,8.1,,,18.8
G20961,FIELDING GRADUATE UNIVERSITY,2112 SANTA BARBARA STREET,SANTA BARBARA,CA,93105,11161,9783,20944,60,22,19,6.1,11.1,8.1,23.7,12.2,18.8
G21206,SAYBROOK GRADUATE SCHOOL,747 FRONT STREET,SAN FRANCISCO,CA,94111,1109,2400,3509,4,87,50,2.2,3.5,8.1,17.9,27,18.8
G22220,AMERICAN FILM INSTITUTE,2021 N WESTERN AVE,LOS ANGELES,CA,90027,1109,2400,3509,12,30,97,,,8.1,,,18.8
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,"655 KNIGHT WAY, MCCLELLAND BUILDING",STANFORD,CA,94305,1109,2400,3509,23,56,74,59.5,26.4,8.1,7,46.7,18.8
G22372,PHILLIPS GRADUATE INSTITUTE,19900 PLUMMER STREET,CHATSWORTH,CA,91311,1109,2400,3509,19,28,48,0.7,0.4,8.1,100,100,18.8
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,1069 EAST MEADOW CIRCLE,PALO ALTO,CA,94303,1109,2400,3509,21,36,57,14.2,12.3,8.1,45.8,45.4,18.8
G22768,WESTMINSTER SEMINARY CALIFORNIA,1725 BEAR VALLEY PKY,ESCONDIDO,CA,92027,1109,2400,3509,16,44,23,0.8,3.2,8.1,2.9,13.3,18.8
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,1265 WELCH ROAD,STANFORD,CA,94305,1109,2400,3509,8,63,25,,,8.1,,,18.8
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,5130 EAST CLINTON WAY,FRESNO,CA,93727,1109,2400,3509,16,25,56,0.4,0.6,8.1,7.9,18.2,18.8
G31268,PACIFICA GRADUATE INSTITUTE,249 LAMBERT ROAD,CARPINTERIA,CA,93013,3526,5702,9228,13,66,25,,,8.1,,,18.8
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,1601 CLAY STREET,OAKLAND,CA,94512,3244,6038,9282,60,22,19,6.7,4,8.1,37,21.4,18.8
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,1500 EAST DUARTE ROAD,DUARTE,CA,91010,3244,6038,9282,4,87,50,3.9,1.9,8.1,80,30.8,18.8
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,535 WATSON DRIVE,CLAREMONT,CA,91711,7851,12173,20024,12,30,97,3.8,3.2,8.1,34.3,78.5,18.8
G41004,TAFT UNIVERSITY SYSTEM (THE),3700 SOUTH SUSAN STREET,SANTA ANA,CA,92704,7851,12173,20024,23,56,74,15.1,13.3,8.1,22.7,20.3,18.8
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",574 HILGARD AVENUE,LOS ANGELES,CA,90024,13124,10593,23717,19,28,48,7.8,4.8,8.1,35.3,20.6,18.8
