SchoolCode,SchoolName,City,StateCode,ZipCode,Student Count Black,Student Count Hispanic,Student Count White,Student Count Asian,Student Count Native American,men total,women total,Total
E00254,LMU - LOYOLA LAW SCHOOL,LOS ANGELES,CA,90015,430,574,287,861,717,1029,1843,2870
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,94305,399,532,266,798,665,977,1687,2662
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,90095,782,1042,521,1564,1303,1836,3380,5214
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,90095,1043,1391,695,2086,1738,2974,3984,6955
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,COSTA MESA,CA,92626,516,689,344,1033,861,1385,2064,3446
E00554,ANTIOCH UNIV/LOS ANGELES,CULVER CITY,CA,90230,114,153,76,229,191,271,498,766
E00556,ANTIOCH UNIV/SANTA BARBARA,SANTA BARBARA,CA,93101,1798,2398,1199,3597,2997,5786,6207,11990
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,RANCHO CORDOVA,CA,95670,270,360,180,540,450,910,894,1802
E00914,PLATT COLLEGE,ONTARIO,CA,91764,270,360,180,540,450,910,894,1802
E00959,PLATT COLLEGE - ANAHEIM,ANAHEIM,CA,92806,7536,10049,5024,15073,12561,26071,24177,50246
E00961,TRINITY INTERNATIONAL UNIV-CA,SANTA ANA,CA,92705,4023,5364,2682,8046,6705,11525,15300,26823
E01182,KAPLAN COLLEGE - PALM SPRINGS,PALM SPRINGS,CA,92262,681,908,454,1362,1135,1823,2721,4542
E01191,KAPLAN COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93304,540,721,360,1081,901,1391,2217,3606
E01197,KAPLAN COLLEGE - FRESNO,CLOVIS,CA,93612,316,422,211,633,527,979,1133,2110
E01285,KAPLAN COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,160,213,106,320,267,591,480,1069
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,93001,749,999,499,1498,1248,1617,3381,4995
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,91764,9,12,6,18,15,0,65,63
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,91316,6,9,4,13,11,17,30,45
E01841,KAPLAN COLLEGE - CHULA VISTA,CHULA VISTA,CA,91910,1697,2262,1131,3394,2828,7099,4217,11314
E01882,EVEREST COLLEGE - SANTA ANA,SANTA ANA,CA,92701,1461,1948,974,2922,2435,4072,5671,9740
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,91910,354,472,236,708,590,925,1440,2363
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,EL MONTE,CA,91731,4899,6532,3266,9798,8165,18733,13930,32660
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,92801,594,792,396,1188,990,1860,2106,3963
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,92069,7503,10005,5002,15007,12506,22217,27810,50025
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,92553,2288,3050,1525,4576,3813,6704,8552,15254
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,92507,7503,10005,5002,15007,12506,22217,27810,50025
E02024,MEDIATECH INSTITUTE - OCEANSIDE,OCEANSIDE,CA,92054,1472,1963,981,2944,2453,4421,5396,9815
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,STOCKTON,CA,95207,485,647,323,970,808,1621,1617,3235
E02077,WESTMED COLLEGE - MERCED,MERCED,CA,95340,15,20,10,30,25,52,51,100
