School ID,School Name,City,State,Zip,Phone,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Graduation Rate School,College Enrollment Rate School
E00254,LMU - LOYOLA LAW SCHOOL,LOS ANGELES,CA,90015,7738621449,29,355,404,363,92.8,84.7
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,94305,7738261137,91,383,423,366,,12.5
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,90095,7734346300,70,377,402,370,0,18.8
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,90095,7735353669,7,414,401,359,,
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,COSTA MESA,CA,92626,7736972216,44,390,433,384,,80
E00554,ANTIOCH UNIV/LOS ANGELES,CULVER CITY,CA,90230,7735352590,112,332,557,316,,
E00556,ANTIOCH UNIV/SANTA BARBARA,SANTA BARBARA,CA,93101,7735352565,159,522,574,525,,
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,RANCHO CORDOVA,CA,95670,7735355720,18,417,418,411,,
E00914,PLATT COLLEGE,ONTARIO,CA,91764,7738260370,130,624,604,628,,
E00959,PLATT COLLEGE - ANAHEIM,ANAHEIM,CA,92806,7735352636,16,395,400,387,,
E00961,TRINITY INTERNATIONAL UNIV-CA,SANTA ANA,CA,92705,7735356416,62,409,393,392,,
E01182,KAPLAN COLLEGE - PALM SPRINGS,PALM SPRINGS,CA,92262,7736511221,53,394,384,378,,
E01191,KAPLAN COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93304,7735354225,58,374,375,362,94.2,58.5
E01197,KAPLAN COLLEGE - FRESNO,CLOVIS,CA,93612,7735340034,85,423,438,432,95.3,87.7
E01285,KAPLAN COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7735341789,48,404,449,416,,
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,93001,7735349750,76,353,358,340,85.4,44.8
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,91764,7735793470,50,375,388,385,,
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,91316,7735346602,40,403,392,405,,
E01841,KAPLAN COLLEGE - CHULA VISTA,CHULA VISTA,CA,91910,7733942848,69,408,390,390,90.3,85.7
E01882,EVEREST COLLEGE - SANTA ANA,SANTA ANA,CA,92701,7735353975,42,373,370,384,,
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,91910,7735348510,60,391,391,394,,
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,EL MONTE,CA,91731,3124454680,92,473,483,479,86.4,88.4
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,92801,7732916517,s,s,s,s,,39.3
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,92069,7735343954,s,s,s,s,97.8,93.4
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,92553,7735342591,79,319,512,357,,
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,92507,7735354334,s,s,s,s,77.9,57.8
