School ID,School Name,City,State,Zip,Phone,Student Count Total,Student Count Low Income,Student Count English Learners,Dress Code,College Enrollment Rate School,Graduation Rate School,Overall Rating
E00254,LMU - LOYOLA LAW SCHOOL,LOS ANGELES,CA,90015,7738621449,631,540,56,Y,84.7,92.8,Level 1+
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,94305,7738261137,185,179,2,N,12.5,,Level 2+
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,90095,7734346300,264,233,23,N,18.8,0,Level 2
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,90095,7735353669,196,64,0,N,,,Level 1+
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,COSTA MESA,CA,92626,7736972216,194,135,1,N,80,,Level 1+
E00554,ANTIOCH UNIV/LOS ANGELES,CULVER CITY,CA,90230,7735352590,248,90,1,Y,,,Level 1+
E00556,ANTIOCH UNIV/SANTA BARBARA,SANTA BARBARA,CA,93101,7735352565,315,280,6,Y,,,Level 1+
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,RANCHO CORDOVA,CA,95670,7735355720,259,183,0,Y,,,Level 2+
E00914,PLATT COLLEGE,ONTARIO,CA,91764,7738260370,427,414,5,Y,,,Level 2+
E00959,PLATT COLLEGE - ANAHEIM,ANAHEIM,CA,92806,7735352636,240,48,4,N,,,Level 1+
E00961,TRINITY INTERNATIONAL UNIV-CA,SANTA ANA,CA,92705,7735356416,248,180,7,Y,,,Level 1
E01182,KAPLAN COLLEGE - PALM SPRINGS,PALM SPRINGS,CA,92262,7736511221,198,186,1,Y,,,Level 1
E01191,KAPLAN COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93304,7735354225,406,382,48,Y,58.5,94.2,Level 1+
E01197,KAPLAN COLLEGE - FRESNO,CLOVIS,CA,93612,7735340034,974,304,6,N,87.7,95.3,Level 1+
E01285,KAPLAN COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7735341789,144,140,32,Y,,,Level 2
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,93001,7735349750,291,271,12,Y,44.8,85.4,Level 1
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,91764,7735793470,622,562,259,Y,,,Level 1+
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,91316,7735346602,350,343,0,Y,,,Level 2+
E01841,KAPLAN COLLEGE - CHULA VISTA,CHULA VISTA,CA,91910,7733942848,996,941,91,Y,85.7,90.3,Level 1+
E01882,EVEREST COLLEGE - SANTA ANA,SANTA ANA,CA,92701,7735353975,257,218,14,Y,,,Level 1+
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,91910,7735348510,357,140,12,N,,,Level 1
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,EL MONTE,CA,91731,3124454680,937,790,61,Y,88.4,86.4,Level 1+
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,92801,7732916517,117,110,1,N,39.3,,Level 1
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,92069,7735343954,1070,415,6,N,93.4,97.8,Level 1+
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,92553,7735342591,797,661,385,Y,,,Level 1+
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,92507,7735354334,336,329,66,Y,57.8,77.9,Level 1
E02024,MEDIATECH INSTITUTE - OCEANSIDE,OCEANSIDE,CA,92054,7735358351,587,493,4,Y,64.2,71,Level 1
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,STOCKTON,CA,95207,7732799826,555,512,247,Y,,,Level 1
E02077,WESTMED COLLEGE - MERCED,MERCED,CA,95340,3128351863,568,531,9,Y,,,Level 1+
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,HAYWARD,CA,94541,7735346925,319,248,0,Y,,,Level 1
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,COSTA MESA,CA,92626,7735354300,297,288,65,Y,56.6,87.5,Level 1
