School Code,School Name,Address,City,State Code,Zip Code,Student Growth Rating,Growth Reading Grades Tested Pct ES,Growth Math Grades Tested Pct ES,Student Attainment Rating,Creative School Certification,School Survey Ambitious Instruction,School Survey Effective Leaders,School Survey Collaborative Teachers,School Survey Safety,School Survey Parent Teacher Partnership,School Survey Quality Of Facilities,Student Attendance,Teacher Attendance
E00254,LMU - LOYOLA LAW SCHOOL,919 SOUTH ALBANY STREET,LOS ANGELES,CA,90015,NO DATA AVAILABLE,60,78,AVERAGE,EXCELLING,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,95.4,95.9
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,559 NATHAN ABBOTT WAY,STANFORD,CA,94305,ABOVE AVERAGE,68,14,FAR BELOW AVERAGE,INCOMPLETE DATA,WEAK,VERY WEAK,NEUTRAL,VERY WEAK,NEUTRAL,STRONG,91.7,93
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,FIN AID OFFICE 12-109 CHS,LOS ANGELES,CA,90095,AVERAGE,27,35,BELOW AVERAGE,DEVELOPING,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,VERY STRONG,VERY STRONG,94.4,95.2
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,A3042 DENTAL BLDG,LOS ANGELES,CA,90095,BELOW AVERAGE,92,42,BELOW AVERAGE,EMERGING,STRONG,WEAK,WEAK,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,92.3,
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,3333 HARBOR BOULEVARD,COSTA MESA,CA,92626,ABOVE AVERAGE,,,FAR BELOW AVERAGE,DEVELOPING,STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,62.4,
E00554,ANTIOCH UNIV/LOS ANGELES,400 CORPORATE POINTE,CULVER CITY,CA,90230,NO DATA AVAILABLE,92,48,BELOW AVERAGE,EXCELLING,STRONG,WEAK,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,95.6,95.4
E00556,ANTIOCH UNIV/SANTA BARBARA,801 GARDEN STR SUITE 101,SANTA BARBARA,CA,93101,ABOVE AVERAGE,75,99,AVERAGE,DEVELOPING,VERY STRONG,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,96.4,95.2
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,FAR ABOVE AVERAGE,99,16,BELOW AVERAGE,DEVELOPING,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,STRONG,94.4,94.1
E00914,PLATT COLLEGE,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764,ABOVE AVERAGE,,,BELOW AVERAGE,EMERGING,STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,86.4,
E00959,PLATT COLLEGE - ANAHEIM,1551 SOUTH DOUGLASS ROAD,ANAHEIM,CA,92806,BELOW AVERAGE,27,47,FAR BELOW AVERAGE,INCOMPLETE DATA,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,STRONG,VERY STRONG,95.4,94.9
